     Qty: Element
       1: Abominate

       1: Abominates

       1: Aborigines

       1: Abound

       1: Abounds

     300: About

       1: About
5000

      60: Above

       4: Abroad

      13: Absence

      48: Absolute

      16: Absolutely

       1: Absolution

       1: Absorb

       6: Absorbed

       1: Absorbs

       3: Abstain

       1: Abstained

       1: Abstainer

       1: Abstains

       1: Abstinence

      18: Abstract

      15: Abstraction

      13: Abstractions

       1: Abstractions--the

       1: Abstracts

       5: Absurd

       1: Absurdities

       7: Absurdity

       1: Absurdum

       2: Abundance

       1: Abundantly

       2: Abuse

       4: Abusing

       1: Accent

       8: Accept

       1: Acceptance

       4: Accepted

       1: Accepting

       8: Access

       1: Accessed

       1: Accessible

       1: Accessory

       3: Accident

       6: Accidental

       3: Accidents

       1: Accommodate

       1: Accommodated

       1: Accommodations

       4: Accompanied

       2: Accompaniment

       2: Accompaniments

       3: Accompany

       1: Accompanying

       1: Accomplish

      12: Accomplished

       1: Accomplishing

       1: Accomplishments

       3: Accord

      14: Accordance

      47: According

       8: Accordingly

       1: Accords

      19: Account

       1: Accounted

       1: Accruing

       1: Accumulate

       1: Accumulating

       2: Accumulation

       1: Accumulations

       5: Accuracy

       4: Accurate

       1: Accursed

       5: Accusation

       2: Accusations

       2: Accuse

       4: Accused

       1: Accuser

       5: Accustomed

       1: Accustoming

       3: Achaeans

       1: Achieved

       4: Achilles

       1: Achilles--

      26: Acknowledge

      17: Acknowledged

       4: Acknowledges

       3: Acknowledging

       2: Acorns

       5: Acquaintance

       3: Acquaintances

       6: Acquainted

       1: Acquiesces

      13: Acquire

      13: Acquired

       1: Acquirement

       4: Acquiring

      10: Acquisition

       1: Acquit

       2: Acquitted

       1: Acropolis

       2: Across

      34: Act

       2: Acted

       7: Acting

      34: Action

       1: Action--in

       1: Action--to

      32: Actions

       7: Active

       6: Actor

       5: Actors

       6: Acts

      16: Actual

       8: Actually

       1: Actuated

       2: Acute

       3: Ad

       1: Adamant

       1: Adamant)

       1: Adamantine

       1: Adapt

       1: Adaptation

       1: Adaptations

       9: Adapted

       2: Adapts

      24: Add

      15: Added

       9: Adding

       9: Addition

       8: Additional

       3: Additions

       5: Address

       1: Addressed

       1: Addresses

       5: Adds

      64: Adeimantus

       1: Adeimantus--taking

       3: Adequate

       7: Adequately

       2: Adhere

       1: Adherents

       1: Adjusts

       1: Administer

       2: Administered

       2: Administration

       5: Admirable

       2: Admiration

       6: Admire

       4: Admired

       1: Admirer

       2: Admirers

       1: Admiring

       7: Admission

       4: Admissions

      49: Admit

       4: Admits

      35: Admitted

       8: Admitting

       3: Admixture

       2: Admonition

       1: Admonitions

       3: Ado

       5: Adopt

       5: Adopted

       1: Adopting

       1: Adulation

       1: Adulteration

       2: Adultery

       7: Advance

       1: Advanced

       3: Advances

       1: Advancing

      24: Advantage

       8: Advantageous

      12: Advantages

       3: Adversaries

       3: Adversary

       3: Adverse

       6: Advice

       4: Advise

       1: Advised

       2: Advisers

       5: Advises

       1: Advising

       1: Advocate

      12: Aeschylus

       1: Aesculapius

       1: Aesop

       2: Affair

      11: Affairs

      13: Affect

       1: Affectation

      18: Affected

       3: Affecting

      12: Affection

       1: Affectionate

       5: Affections

       3: Affects

       3: Affinities

       5: Affinity

      19: Affirm

      10: Affirmed

       4: Affirming

       3: Affirms

       1: Afflicted

       1: Affliction

       5: Afford

       2: Afforded

       1: Affording

       3: Affords

       1: Aforesaid

      22: Afraid

     138: After

       1: After-ages

       3: After-life

       1: Afterthought

      16: Afterwards

     128: Again

       1: Again--

     113: Against

      10: Agamemnon

     107: Age

       9: Aged

       1: Agencies

       3: Agent

       1: Agents

      43: Ages

       1: Aggression--are

       1: Aggressive

       1: Agility

       1: Aglaion

       9: Ago

       2: Agony

       1: Agora

      81: Agree

       6: Agreeable

       2: Agreeably

      18: Agreed

       2: Agreeing

      21: Agreement

       1: Agreements

       5: Agrees

       1: Agricultural

       3: Agriculture

       3: Aid

       1: Aided

       2: Aids

       1: Ailment

      23: Aim

       4: Aiming

      11: Aims

       8: Air

       3: Airs

       1: Airy

       4: Ajax

      14: Akin

       1: Alarms

       2: Alas

       2: Alcibiades

       1: Alcinous

       1: Alexandria

       5: Alien

       1: Alighted

      22: Alike

       4: Alive

       1: Alive--aye

     810: All

       1: All--and

       1: All--are

       2: All--they

       1: All--will

       1: All-knowing

       1: All-wise

       1: Allayed

       1: Alleged

       3: Allegorical

       1: Allegories

      10: Allegory

       5: Alliance

       2: Alliances

       4: Allied

       6: Allies

       1: Allotted

      46: Allow

       2: Allowable

       2: Allowance

      41: Allowed

       1: Allowed)

       4: Allowing

       5: Allows

       2: Alloy

       2: Alloyed

       1: Allude

       2: Alluded

       1: Alludes

       2: Alluding

       2: Allurements

       7: Allusion

       8: Ally

      33: Almost

       1: Alms

       1: Aloft

      33: Alone

      15: Along

       1: Alongside

       2: Aloud

       1: Alphabet

      58: Already

     366: Also

       2: Altar

       6: Alter

       1: Alteration

       4: Altered

       3: Altering

       1: Alternate

       1: Alternated

       3: Alternative

       1: Alternatives

      82: Although

       9: Altogether

     128: Always

     122: Am

       1: Amateurs

       1: Amatory

       1: Amazed

       1: Amazement

       4: Ambassadors

       2: Ambiguities

       2: Ambiguity

       1: Ambiguous

      12: Ambition

      11: Ambitious

       1: Ambitious--would

       1: Amelioration

       1: Amenable

       1: Amenities

       2: America

       1: American

       1: Amerigo

      18: Amid

     112: Among

       3: Amongst

       1: Amorous

       7: Amount

       2: Amounts

       1: Amplifications

       1: Amply

       1: Amulet

       5: Amused

       6: Amusement

       2: Amusements

       4: Amusing

     618: An

       2: Anacharsis

       2: Anachronisms

       5: Analogies

       2: Analogous

      21: Analogy

       1: Analogy--he

       4: Analyse

       3: Analysed

       1: Analyses

      11: Analysis

       1: Analytical

       1: Analyzed

       1: Anapaestic

       5: Anarchy

       2: Anaxagoras

       4: Ancestor

       2: Ancestors

       3: Ancestral

      47: Ancient

       6: Ancients

    8296: And

       1: Anew

       5: Angels

      14: Anger

       2: Angles

      26: Angry

      18: Animal

       1: Animalism

      44: Animals

       1: Animals)

       1: Animate

       2: Animated

       1: Animation

       1: Annihilates

       1: Annihilation

       1: Announce

       1: Announced

       1: Annoyed

       3: Annual

       1: Anointed

       1: Anomaly

       1: Anon

     347: Another

       1: Another--a

       1: Another--he

       1: Another--of

       1: Another--sometimes

       1: Another--that

     106: Answer

       1: Answer--the

      20: Answered

       7: Answering

      22: Answers

       6: Antagonism

       1: Antagonist

       3: Antecedent

       1: Antecedents

       2: Anthropology

       5: Anticipate

       3: Anticipated

       1: Anticipates

       1: Anticipating

       7: Anticipation

       2: Anticipations

       1: Antidote

       1: Antigone

       1: Antiquarian

       1: Antique

       4: Antiquity

       1: Antithesis

       1: Antwerp

       1: Anxiety

       2: Anxious

       1: Anxiously

     637: Any

       1: Any)

      11: Anybody

       1: Anyhow

       5: Anyone

      82: Anything

       4: Anywhere

      10: Apart

       1: Aphoristic

       2: Aphrodite

       3: Apol

       9: Apollo

       1: Apologist

       4: Apology

       1: Apostles

       1: Appalling

       2: Apparatus

       2: Apparel

       5: Apparent

       2: Apparently

       2: Apparition

      10: Appeal

       1: Appealed

       1: Appealing

       3: Appeals

      57: Appear

      27: Appearance

      10: Appearances

       1: Appearances--he

      15: Appeared

       4: Appearing

      54: Appears

       1: Appeased

       1: Append

       2: Appended

       3: Appetite

      12: Appetites

       3: Appetitive

       2: Applaud

       2: Applauded

       2: Applause

       1: Applauses

       7: Applicable

      14: Application

       6: Applications

      14: Applied

       5: Applies

      20: Apply

       2: Applying

       2: Appoint

      11: Appointed

       1: Appointing

       2: Appointment

       1: Apportion

       1: Apposing

       4: Appreciate

       2: Appreciated

       1: Appreciation

       3: Apprehend

       1: Apprehended

       2: Apprehending

       5: Apprehension

       1: Apprentice

       1: Apprentices

      13: Approach

       3: Approaches

       1: Approaching

       4: Appropriate

       1: Appropriately

       1: Appropriating

       3: Approval

       9: Approve

       4: Approved

       2: Approver

       3: Approves

       2: Approximation

       1: Appurtenances

      28: Apt

       4: Aptitude

       1: Arbitrarily

       1: Arcadian

       1: Archelaus

       1: Archer

       3: Archilochus

       3: Architecture

      12: Archive

       1: Archon

       7: Ardiaeus

    2066: Are

       1: Are--a

       1: Arena

       2: Ares

       3: Argos

      19: Argue

       2: Argued

       8: Argues

       6: Arguing

      87: Argument

       1: Argument--unless

       1: Argumentative

      11: Arguments

       2: Aright

      27: Arise

       7: Arisen

      26: Arises

       1: Arising

       1: Arist

       2: Aristocracies

       9: Aristocracy

       1: Aristocratic

       1: Aristocratical

      10: Ariston

       1: Aristoph

       2: Aristophanes

       3: Aristotelian

      46: Aristotle

      11: Arithmetic

       7: Arithmetical

       5: Arithmetician

       4: Arm

       2: Armed

       2: Armenius

       3: Armies

       3: Armour

      20: Arms

      15: Army

      10: Arose

       9: Around

       3: Arouse

       5: Aroused

       1: Arousing

       3: Arrange

       5: Arranged

       2: Arrangement

       2: Arrangements

       1: Arranges

       1: Arranging

       1: Arrant

       4: Array

       2: Arrayed

       2: Arrival

      12: Arrive

      21: Arrived

       6: Arrives

       2: Arriving

       1: Arrogance

       1: Arrogant

       1: Arrows

     166: Art

       1: Artemis

       1: Arthur

       1: Article

       1: Articles

       3: Artificer

       2: Artificers

       5: Artificial

       1: Artificially

       8: Artisan

       8: Artisans

      21: Artist

       2: Artistic

      10: Artists

      85: Arts

    1600: As

      12: Ascend

       4: Ascended

       4: Ascending

       7: Ascent

       2: Ascertain

       3: Ascertained

      16: Asclepius

       1: Ascribe

      10: Ascribed

       1: Ascribing

      12: Ashamed

       2: Ashes

       1: Asia

      11: Aside

      95: Ask

      40: Asked

       1: Asked--Where

      13: Asking

      15: Asks

       3: Asleep

       8: Aspect

       7: Aspects

       3: Aspirant

       7: Aspiration

       4: Aspirations

       3: Aspire

       1: Assailant

       1: Assailants

       1: Assailing

       1: Assails

       1: Assassinate

       1: Assassinating

       2: Assassination

       1: Assault

       1: Asscher

       1: Assemblage

       3: Assembled

       1: Assemblies

       5: Assembly

      11: Assent

       2: Assented

       7: Assert

       6: Asserted

       1: Asserting

       7: Assertion

       2: Asserts

       2: Asses

       5: Assign

       9: Assigned

       1: Assigning

       2: Assigns

       1: Assimilate

       1: Assimilated

       2: Assimilates

       1: Assimilating

       1: Assimilation

       6: Assist

       5: Assistance

       3: Assisted

       2: Assisting

       5: Associate

      10: Associated

       1: Associated)

       5: Associates

       4: Association

       3: Associations

      22: Assume

      10: Assumed

       6: Assumes

       8: Assuming

       4: Assumption

       1: Assumptions

       1: Assurance

       3: Assure

       5: Assured

       5: Assuredly

       1: Assuring

       1: Assyria

       1: Assyrian

       1: Asthmatic

       2: Astonished

       1: Astonishment

       2: Astray

       1: Astronomer

       3: Astronomers

       1: Astronomical

      22: Astronomy

       2: Asunder

       1: Asylum

     821: At

       1: At
809

       2: Atalanta

       1: Ate

       6: Athene

      11: Athenian

       3: Athenians

      10: Athens

       7: Athlete

       9: Athletes

       4: Atlantis

       4: Atmosphere

       1: Atone

       2: Atonement

       1: Atonements

       1: Atoning

       1: Atreus

       7: Atropos

       1: Att

       4: Attach

       6: Attached

       2: Attaching

       1: Attachment

       1: Attachments

       3: Attack

       2: Attacked

       3: Attacks

      24: Attain

       2: Attainable

       1: Attainder

      12: Attained

       5: Attaining

       3: Attainment

       1: Attainments

       5: Attains

       1: Attainted

       1: Attemper

       1: Attempers

      29: Attempt

       2: Attempted

       6: Attempting

      10: Attempts

       6: Attend

       2: Attendant

       3: Attendants

       5: Attended

       3: Attending

       2: Attends

      11: Attention

       2: Attic

       1: Attire

       2: Attitude

       4: Attract

       6: Attracted

       1: Attracting

       3: Attraction

       1: Attractions

       1: Attractive

       1: Attracts

       8: Attribute

      20: Attributed

       7: Attributes

       3: Attributing

       1: Attribution

       1: Attuning

       1: Audacious

       1: Audacity

       2: Audience

       2: Auditors

       1: Aught

       5: Augustine

       1: Auscultation

       2: Auspices

      24: Author

       1: Authorised

       1: Authoritative

       2: Authorities

      39: Authority

       1: Authorized

      10: Authors

       2: Autolycus

       7: Auxiliaries

       2: Auxiliary

       2: Avail

       1: Available

       7: Avarice

       7: Avaricious

       1: Aver

       2: Average

       1: Averse

       1: Avert

       1: Averted

       1: Averters

       1: Avesta

       1: Avesta)

      15: Avoid

       2: Avoidance

       4: Avoided

       3: Await

       2: Awaiting

       2: Awaits

       8: Awake

       1: Awakened

       1: Awakening

       1: Awakens

       2: Awaking

      26: Aware

      90: Away

       1: Away--you

       4: Awe

       1: Awestricken

       1: Awful

       1: Awhile

       1: Axioms

       9: Axis

       2: Aye

       4: B

       1: BE

       1: BEFORE

       2: BREACH

       1: BUT

      40: Back

       1: Back--the

       1: Background

       1: Backs

       4: Backward

       1: Backwardness

       1: Backwards

       9: Bacon

      79: Bad

       3: Bade

       2: Badly

       5: Badness

       1: Baking

       4: Balance

       2: Balanced

       1: Balances

       6: Bald

       1: Balm

       5: Band

       1: Baneful

       8: Banish

       8: Banished

       2: Banishes

       3: Banishing

       1: Banishment

       1: Banquet

       1: Banquetter

       1: Banter

       1: Baptised

      11: Barbarians

       2: Barbarism

       2: Barbarous

       1: Barbers

       1: Barclay

       1: Bare

       1: Barest

       2: Bark

       1: Barley

       2: Barley-meal

       4: Barren

       7: Base

      22: Based

       3: Baseness

       2: Baser

       2: Bases

       1: Basest

      13: Basis

       1: Bask

       1: Bass

       4: Bastard

       2: Bat

       2: Bath

       1: Bath-man

       1: Baths

       2: Bats

      22: Battle

       2: Battles

       1: Battling

       2: Bazaar

    2817: Be

       1: Be--an

       1: Beak

       1: Beams

       1: Beans

      28: Bear

       7: Bearing

       8: Bears

      20: Beast

       6: Beasts

       1: Beasts--he

       5: Beat

       4: Beaten

       1: Beatific

       1: Beating

       2: Beats

       1: Beauteous

       3: Beauties

      33: Beautiful

       1: Beautify

      62: Beauty

       1: Beauty--in

      11: Became

     153: Because

      92: Become

      42: Becomes

      19: Becoming

      27: Bed

       8: Beds

       2: Bee-master

       4: Beef

     430: Been

       2: Bees

       1: Befall

     104: Before

       1: Beforehand

       9: Beg

      19: Began

       1: Begat

       3: Beget

       2: Begetting

       1: Beggarly

       2: Beggars

       1: Beggars--I

       2: Beggary

       1: Begged

       4: Begging

      46: Begin

      47: Beginning

       2: Beginnings

      31: Begins

       1: Begone

       2: Begotten

       1: Begs

       4: Begun

       4: Behalf

       3: Behave

       5: Behaviour

       4: Beheld

       1: Behests

      13: Behind

      25: Behold

       1: Beholder

       2: Beholding

       2: Beholds

     252: Being

       1: Being--geometry

       2: Being--that

       8: Beings

       1: Beings--the

      14: Belief

       5: Beliefs

      65: Believe

       1: Believe--reason

       9: Believed

       4: Believer

       7: Believes

       6: Believing

       2: Bellowing

       5: Belong

       2: Belonging

       7: Belongs

       2: Beloved

      35: Below

       1: Below--Cocytus

       1: Below--if

       1: Belt

       2: Bema

       1: Bendidea

       2: Bendis

       9: Beneath

       1: Benefactor

       3: Benefactors

       2: Beneficence

       5: Beneficial

      15: Benefit

       3: Benefited

       1: Benefits

       2: Benevolence

       2: Bent

       1: Bequeath

       1: Bequeaths

       3: Bequests

       1: Berkeley

       1: Beseech

       1: Beseeching

       2: Beset

       1: Beside

      16: Besides

       1: Besprinkled

     154: Best

       2: Best)

       2: Best-ordered

       1: Bestow

       2: Bestowed

       1: Betray

       2: Betrayed

     163: Better

       1: Better--would

     108: Between

       1: Beware

       2: Bewildered

       1: Bewilderments

      48: Beyond

       1: Bias

       1: Bid

       2: Bidden

       4: Bidding

       6: Bids

       1: Bigger

       1: Bigness

       2: Bile

       1: Binary

       3: Bind

       5: Binding

       1: Binds

       1: Biographer

       1: Bird

       1: Bird-fancier

       8: Birds

       1: Birds--for

      20: Birth

       5: Births

       3: Bishop

       1: Bishopric

       2: Bit

       2: Bite

       1: Bitter

       1: Bitterest

       6: Black

       1: Black--to

       2: Blacksmith

       1: Blacksmiths

      10: Blame

       1: Blameable

       6: Blamed

       4: Blameless

       1: Blames

       1: Blaming

       2: Blank

       1: Blasphemous

       1: Blasphemy

       1: Blazes

       1: Blazing

       1: Bleat

       1: Blemishes

       1: Blend

      12: Blessed

       2: Blessedness

       6: Blessing

       8: Blessings

       2: Blest

      14: Blind

       1: Blindly

       2: Blindness

       1: Blink

       4: Blinking

       1: Blinks

       1: Bliss

      12: Blood

       2: Bloom

       1: Blooming

       1: Blooms

       4: Blow

       4: Blows

       1: Blunted

       1: Blurred

       1: Blush

       1: Blushing

       1: Blustering

       2: Boast

       1: Boaster

       1: Boastful

       1: Boasting

      20: Bodies

      37: Bodily

     127: Body

       1: Body)

       1: Body--the

       6: Body-guard

       1: Boeckh

       1: Boil

       2: Boiled

       1: Boils

       5: Bold

       1: Bolder

       3: Boldly

       5: Bond

       1: Bondmen

       1: Bonds

       1: Bones

      71: Book

       1: Book-makers

      16: Books

       2: Boon

       1: Boorish

       2: Border

       1: Borders

       3: Bore

      20: Born

       3: Borne

       1: Borrow

       9: Borrowed

       2: Borrowing

       1: Borrows

       2: Bosom

     179: Both

       1: Bottom

       2: Bought

      14: Bound

       1: Bound--he

       1: Bound--will

       1: Boundless

       1: Bounds

       1: Bow

       1: Bowed

       2: Bowl

       1: Box

       2: Boxer

       1: Boxers

       1: Boxes

       2: Boxing

       3: Boy

       4: Boys

       1: Brahmins

      10: Branch

       3: Branches

      12: Brass

      14: Brave

       1: Brave--may

       1: Braver

       3: Bravery

       5: Bravest

       2: Brazen

       1: Bread

       7: Break

       2: Breaker

       5: Breaking

       8: Breaks

       8: Breast

       1: Breast--the

       4: Breath

       1: Breathe

       2: Breathing

       1: Bred

      11: Breed

       2: Breeder

       6: Breeding

       1: Breeds

       3: Breeze

       1: Brethren

       1: Bribe

       1: Bribed

       1: Bribery

       3: Bribes

       1: Bricks

       2: Bride

       3: Bridegroom

       2: Bridegrooms

       2: Brides

       3: Bridle

       2: Brief

       3: Briefly

       3: Bright

       5: Brighter

       2: Brightest

       1: Brightest--the

       1: Brightness

       2: Brilliant

      32: Bring

       6: Bringing

      11: Brings

       1: Brink

       1: Brittle

       2: Broadest

       1: Broils

       1: Broke

       4: Broken

      13: Brother

       2: Brotherhood

       1: Brotherhoods

      15: Brothers

      52: Brought

       2: Bruised

       5: Brutal

       1: Brutality

       1: Brutalized

       3: Brute

       2: Brutes

       2: Buffoon

       1: Buffoonery

       2: Build

       5: Builder

       1: Builder--in

       1: Builders

       5: Building

       1: Builds

       4: Built

       1: Bulk

       1: Bulldogs

       1: Bullies

       2: Bulls

       1: Bunyan

       2: Burden

       1: Burglar

       3: Burglars

       3: Burial

       2: Buried

       2: Burke

       3: Burn

       1: Burned

       1: Burning

       1: Burnt

       1: Burst

       1: Bury

       1: Bushel

      46: Business

       1: Bustling

       2: Busy

       1: Busy-bodies

       2: Busybody

    1242: But

       1: Butchery

       1: Butt

       6: Buy

       1: Buyers

       3: Buying

       2: Buzz

       2: Buzzing

    1252: By

       1: By--

       1: By-and-by

       1: C

       1: CONSEQUENTIAL

       1: CONTRACT

       1: Cadmus

       1: Caesar

       2: Caitiff

       1: Cajole

       2: Cakes

       2: Calamities

       1: Calamity

       1: Calculate

       1: Calculated

       2: Calculating

      12: Calculation

       1: Calendar

      62: Call

      72: Called

      14: Calling

       2: Callings

       1: Callings--they

       1: Callippus

      10: Calls

       3: Calm

       2: Calmer

       1: Cambridge

      39: Came

       9: Camp

       1: Campaigning

       3: Campanella

     422: Can

       3: Candle

       1: Canibus

     174: Cannot

      16: Capable

       1: Capacities

       8: Capacity

       1: Capital

       1: Caps

      15: Captain

       1: Captivates

       3: Captive

       4: Captives

       1: Capture

       1: Card

       1: Cardinal

       2: Carding

      68: Care

       1: Career

       1: Career--

       3: Careful

       3: Carefully

       7: Careless

       1: Carelessly

       1: Carelessness

       7: Cares

       1: Caricatured

       1: Caring

       1: Carousals

      17: Carpenter

       1: Carpenter--is

       1: Carpentering

       1: Carpenters

      25: Carried

       7: Carries

      16: Carry

       6: Carrying

       1: Carts

      82: Case

       1: Case--that

      22: Cases

       1: Cases--what

       1: Casks

      14: Cast

       2: Caste

       2: Casting

       1: Castle

       1: Castles

       1: Casts

       2: Casual

       1: Casuistry

       2: Catalogue

       1: Catarrh

       1: Catastrophe

       7: Catch

       1: Catches

       1: Catching

       4: Catholic

       2: Cattle

       6: Caught

       1: Caught--when

      41: Cause

       6: Caused

      22: Causes

       2: Cautery

       3: Caution

       2: Cautious

       6: Cave

       2: Cavern

       1: Caves

      11: Cease

       2: Ceased

       1: Ceaseless

       3: Ceases

       1: Cebes

       1: Ceiling

       2: Celebrated

       1: Celebrating

       1: Cells

       1: Censors

       3: Censorship

